mode,beta,alpha,seed,trace_sigma_T,trace_sigma_0,kl_T,gini_T,entropy_T,drop_pct
closed_loop,0.0,0.0,0,26.339325908693493,29.811911999542403,0.6982387719638079,0.6581355555555566,4.925384097220899,11.64831725956461
closed_loop,0.0,0.0,1,28.592164963396964,31.207197814918434,0.6886994985622424,0.5550288888888903,5.150896610099524,8.379582386827977
closed_loop,0.0,0.0,2,27.827473879471007,29.625598957513727,0.5052676202942743,0.7749266666666673,4.492353966906198,6.069497803644152
closed_loop,0.0,0.3,0,27.96853592026472,30.037178094609775,0.8037519054019839,0.473126716359359,5.326572063308591,6.886939138654558
closed_loop,0.0,0.3,1,25.105238888725022,31.173002733183566,1.4038042033520226,0.23994341943419706,5.6121107523521285,19.46480387659103
closed_loop,0.0,0.3,2,27.276669232750503,29.667318489508027,0.5403755276715896,0.5198878266411735,5.247987729861293,8.058191230201627
closed_loop,0.0,0.7,0,29.28580566173716,30.03196377831053,0.15968215787655549,0.6087564901349963,5.0259026339579735,2.4845465387523302
closed_loop,0.0,0.7,1,31.031509468330103,31.19288209493141,0.33783529815083013,0.4148002726653047,5.405023734366565,0.5173379814990775
closed_loop,0.0,0.7,2,29.664222899417567,29.619756582457924,0.2830206986130068,0.5051078582434532,5.274624762564909,-0.15012384330659323
closed_loop,0.0,0.9,0,31.071244345969685,30.03413953757628,0.46437297231192365,0.5015711675801386,5.282889598847854,-3.453086468802824
closed_loop,0.0,0.9,1,33.4067312733207,31.19288209493141,0.36050746922919674,0.43605666666666854,5.381258950437255,-7.097289604890422
closed_loop,0.0,0.9,2,30.962216989425706,29.74027125803283,0.40769329517814934,0.43402061855670415,5.389414725952446,-4.108724230492111
closed_loop,0.005,0.0,0,9.189754374519476,29.48824335129444,3.709746905237851,0.7742200000000007,4.510887147670905,68.83587040081831
closed_loop,0.005,0.0,1,1.6460858272732777,31.059682589580568,9.055739005588434,0.7786866666666674,4.451768581590216,94.70024903659035
