part,alpha,seed,tr_closed,tr_static,tr_gap
B,0.0,0,3.3311653995196604,3.2706856902220203,0.06047970929764013
B,0.0,1,3.5165249054412606,3.700245242349306,-0.18372033690804557
B,0.0,2,4.42421921419163,4.491988664482221,-0.06776945029059167
B,0.0,3,3.23024858797654,3.2213697430084793,0.008878844968060573
B,0.0,4,3.848794245761084,3.7824102911939317,0.06638395456715251
B,0.0,5,3.652630718262017,3.5795694817853594,0.07306123647665741
B,0.0,6,4.1546903619902436,4.06066107330786,0.0940292886823837
B,0.0,7,3.3931732536222126,3.3963139880057054,-0.003140734383492827
B,0.3,0,3.339586828272983,3.2695352004638036,0.07005162780917917
B,0.3,1,3.5334951319733947,3.708381578517257,-0.1748864465438622
B,0.3,2,4.420488093523996,4.523331456867163,-0.10284336334316713
B,0.3,3,3.2264425598522557,3.2243743177650614,0.0020682420871942497
B,0.3,4,3.845900865638067,3.77240939977736,0.0734914658607071
B,0.3,5,3.627039941968778,3.5846549929928493,0.042384948975928705
B,0.3,6,4.106962195999505,4.0195619283403845,0.08740026765912035
B,0.3,7,3.4017689898859147,3.3741312535766954,0.027637736309219285
B,0.7,0,3.3672913141798095,3.2860834019995493,0.08120791218026024
B,0.7,1,3.5705907560056485,3.68726892234305,-0.11667816633740147
B,0.7,2,4.365510803152668,4.519192503059842,-0.15368169990717373
B,0.7,3,3.264835660584799,3.219614182876278,0.04522147770852092
B,0.7,4,3.8254977240527235,3.7813726078227154,0.04412511623000803
B,0.7,5,3.6307853967734793,3.570092424733923,0.06069297203955637
B,0.7,6,4.087331119905547,3.988164958825932,0.09916616107961485
B,0.7,7,3.3994909343266015,3.3871377387029242,0.012353195623677315
B,0.9,0,3.371221531282584,3.2575653010677263,0.1136562302148576
B,0.9,1,3.554244810676773,3.675775115891813,-0.12153030521503982
B,0.9,2,4.384030101042711,4.50590978951686,-0.12187968847414865
B,0.9,3,3.272942472762401,3.221345647921531,0.051596824840869804
B,0.9,4,3.8182473982001373,3.777840890899031,0.0404065073011064
B,0.9,5,3.619162382084139,3.571368082672435,0.04779429941170399
B,0.9,6,4.060927602855561,3.976696811455035,0.08423079140052625
B,0.9,7,3.4071233990043677,3.369705271994071,0.037418127010296676
