seed,taste_tr_closed,taste_tr_static,taste_kl_closed,taste_kl_static,probe_tr_closed,probe_tr_static
0,1.3426663461605681,1.2779805936803743,16.287951720747852,15.646855716468297,4.003348309091087,3.7802155851356267
1,1.2878699538062188,1.355428706685199,16.23782499412959,16.037108140259466,4.327043170218459,3.9873594989732744
2,1.3076771143631556,1.3557198936029156,16.198946856735848,15.865153226231316,4.879292952672276,4.458825641095005
3,1.1005657853287183,1.2961866870583847,16.619877922379565,15.410407297863394,3.875985710300134,3.739901042165867
4,1.277356153257064,1.5293595017415653,16.534335636283874,15.107780584368548,4.318365138372042,3.9788877614923917
5,1.0987366947832349,1.4222120209292783,17.142737542447033,15.414685213512577,4.068086433850371,3.959039552506774
6,1.1832137494839479,1.2118115702825967,16.352826976651865,16.036739406225912,4.421120977247443,4.296480118506933
7,1.218437615587557,1.3889238035782288,16.563748184221254,15.904045435277286,4.064657087339908,3.9493306238332457
8,1.2536161249330535,1.5291575611430368,16.09877162605011,15.068289586030168,4.373178518143141,3.958660091974343
9,1.2063357233485739,1.4912281900660254,16.379466105529925,15.819113360449991,3.7460827222538597,3.8510636454580442
