mode,seed,beta,trace_sigma_T,trace_sigma_0,kl_T,gini_T,entropy_T
closed_loop,0,0.0,29.28580566173716,30.03196377831053,0.15968215787655549,0.6087564901349963,5.0259026339579735
closed_loop,1,0.0,31.031509468330103,31.19288209493141,0.33783529815083013,0.4148002726653047,5.405023734366565
closed_loop,2,0.0,29.664222899417567,29.619756582457924,0.2830206986130068,0.5051078582434532,5.274624762564909
closed_loop,3,0.0,31.117556013768766,30.455181503891815,0.39570341736731285,0.5555590759075921,5.165097445163913
closed_loop,4,0.0,30.778059507047825,30.272047377560824,0.1455373876892161,0.5489055709205859,5.154223377148741
closed_loop,0,0.001,9.795967150411116,29.668922412763354,1.91260503488087,0.642938425565083,4.919673102186064
closed_loop,1,0.001,9.43075278341068,30.67511133207789,2.0718789833952735,0.47090005678591906,5.324309265950642
closed_loop,2,0.001,9.355603066130799,29.24300807030345,2.1646715562296057,0.5556445491427837,5.172930064774077
closed_loop,3,0.001,9.446553299276847,30.043870601298316,1.9310373761581099,0.5486732623034005,5.159695547059949
closed_loop,4,0.001,8.848627931962495,29.89755847033246,2.022619498298316,0.5678804071246832,5.113920741950194
closed_loop,0,0.005,0.8435063737368761,28.46706225621183,17.009930341996224,0.6428589743589757,4.894982380573489
closed_loop,1,0.005,0.6020365310498291,28.51525019830236,16.721783121747794,0.5569418713921349,5.140012034971239
closed_loop,2,0.005,0.6562202449340048,27.78435841531251,16.74718010613729,0.5803974411324366,5.064915572635353
closed_loop,3,0.005,0.6642685456783435,28.46511196213657,16.274588430383915,0.5985120532003336,5.062919985885412
closed_loop,4,0.005,1.225613062841811,28.432391023837784,16.32355214007608,0.5778222393228176,5.068626023347404
closed_loop,0,0.02,4.284328712929,24.353881937312657,16.250875840498274,0.6013081873970978,5.063384002561849
closed_loop,1,0.02,3.917994757961767,22.36029209273078,15.707404416899593,0.5438134318150749,5.179238288700557
closed_loop,2,0.02,2.319102667102732,23.265238142148377,16.110781009611156,0.5512173202614399,5.130793027659409
closed_loop,3,0.02,2.2258078156358008,23.620863751100835,16.280769548166308,0.605137665967856,5.03627153436163
closed_loop,4,0.02,6.142022034626954,23.56547259223583,14.54052582873668,0.5763813333333345,5.076435700492352
closed_loop,0,0.05,10.006400718720625,18.5988362066081,10.510231250626019,0.5409145187126858,5.169368090414913
closed_loop,1,0.05,6.380492098877082,14.67354070777688,10.904431236011154,0.5673649484536096,5.115502281918211
closed_loop,2,0.05,3.133508725477208,17.75970540969969,11.134919911023355,0.5873049074818996,5.058741881285086
closed_loop,3,0.05,8.587944093694615,17.10235793396398,10.578148580269971,0.5476457998929923,5.151365428085338
closed_loop,4,0.05,9.350532049138032,16.92622080000543,9.602654035776794,0.5511428949807993,5.121908502098091
static,0,0.0,29.564729657252744,30.03196377831053,0.29124958984689975,0.43263354700855006,5.390079146171674
static,1,0.0,30.93945814816301,31.19288209493141,0.36579115494320913,0.4024941045914848,5.4277852241579705
static,2,0.0,28.957220715861915,29.619756582457924,0.20213520655005968,0.5715166529039374,5.12655607513276
static,3,0.0,31.704049396237945,30.455181503891815,0.27994699577477866,0.32251344086021827,5.536092456977203
static,4,0.0,29.125313238530545,30.272047377560824,0.21097109374213396,0.4088869764773395,5.415084463115697
static,0,0.001,9.556344940530535,29.668922412763354,2.1663798531438845,0.4469202453987742,5.352695274196442
static,1,0.001,8.954893506715424,30.67511133207789,2.2064768252233518,0.43572684246112403,5.396313965193863
static,2,0.001,9.27166331632742,29.24300807030345,1.9553110548329882,0.5841591958706891,5.099041683956724
static,3,0.001,9.467281598187778,30.043870601298316,2.196549177493517,0.43344135161335173,5.389318889682343
static,4,0.001,9.121916610830368,29.89755847033246,2.2266131935963394,0.4617634408602169,5.349227600723455
static,0,0.005,0.6723453660624612,28.46706225621183,17.634215601353795,0.5539027283511282,5.133417842595958
static,1,0.005,0.8957336511978199,28.51525019830236,16.89391863754082,0.5834761702729476,5.095655249818442
static,2,0.005,0.9790708580522504,27.78435841531251,17.171080543232137,0.6166019801980208,5.018161205166727
static,3,0.005,1.005102739039391,28.46511196213657,17.071579215552706,0.5784333182980019,5.099897544845861
static,4,0.005,0.5997007406471904,28.432391023837784,17.21122742632855,0.579230882137092,5.081804136624754
static,0,0.02,3.1051686008204684,24.353881937312657,14.933370476757279,0.5512200435729866,5.1399404260830615
static,1,0.02,4.142700175244224,22.36029209273078,15.481491800578016,0.5906655192197374,5.087108947658395
static,2,0.02,4.135562639453354,23.265238142148377,14.819790887372509,0.6161670761670774,5.003703065715284
static,3,0.02,6.493376356128929,23.620863751100835,14.26605140350816,0.5887717704073919,5.071670446424843
static,4,0.02,2.5971589762042844,23.56547259223583,16.03801294714968,0.5595952686333203,5.1337246113535215
static,0,0.05,12.001972644515082,18.5988362066081,9.74912428512518,0.5327236421725257,5.181061706188777
static,1,0.05,6.785885511020364,14.67354070777688,10.02504936819151,0.5919861231569828,5.083178680778161
static,2,0.05,8.221775278099187,17.75970540969969,9.884139206869602,0.5873937360178989,5.073186319047564
static,3,0.05,11.645839260143063,17.10235793396398,10.320804591407395,0.5994226804123722,5.069003503182835
static,4,0.05,6.747180114748391,16.92622080000543,10.281360143937034,0.5837670384138802,5.098222642339998
fresh_oracle,0,0.0,30.00232594977734,30.03196377831053,0.21594865738520064,0.6089769983479488,5.025663439681134
fresh_oracle,1,0.0,31.794014383135945,31.19288209493141,0.17679442286358737,0.5323011077542816,5.207756701978602
fresh_oracle,2,0.0,28.733047689798667,29.619756582457924,0.21929284575493524,0.5933054499366299,5.067588648816217
fresh_oracle,3,0.0,29.42729729597307,30.455181503891815,0.22423777353835228,0.6234021632251735,4.977451489071035
fresh_oracle,4,0.0,31.17972974683256,30.272047377560824,0.18210626885310321,0.6311996102788949,4.934284367776627
fresh_oracle,0,0.001,9.710222828183728,29.668922412763354,1.9584951288387253,0.607768266964398,5.024891336136768
fresh_oracle,1,0.001,9.833341224978305,30.67511133207789,2.113817314509464,0.5894025847354321,5.076712536217009
fresh_oracle,2,0.001,9.286000695729205,29.24300807030345,2.2067834067099996,0.6256674179814687,4.967363845766304
fresh_oracle,3,0.001,9.770213108016142,30.043870601298316,1.7986113978257716,0.6133189189189203,4.996370725262093
fresh_oracle,4,0.001,9.273524081792559,29.89755847033246,2.215819579321251,0.6498629121897012,4.905265812794079
fresh_oracle,0,0.005,1.0565042072395632,28.46706225621183,16.668706171766395,0.6176176100628945,5.0129176994740146
fresh_oracle,1,0.005,0.8168319182308464,28.51525019830236,16.676859656728563,0.606666666666668,5.02292091934509
fresh_oracle,2,0.005,0.6912959158885722,27.78435841531251,17.43271532272385,0.640467348743212,4.94318664678881
fresh_oracle,3,0.005,0.62000005405371,28.46511196213657,17.148365366802405,0.6580555555555567,4.852161138949914
fresh_oracle,4,0.005,0.7766845659671451,28.432391023837784,17.380824870632143,0.6477416173570036,4.869651820462581
fresh_oracle,0,0.02,4.5629691344214285,24.353881937312657,16.74500572486813,0.6406437125748516,4.941546234808399
fresh_oracle,1,0.02,2.5099594258577707,22.36029209273078,16.53963821679529,0.6205768500948781,4.9893993900104165
fresh_oracle,2,0.02,1.3781407275495967,23.265238142148377,17.69555833968868,0.6508140403286047,4.892785751179442
fresh_oracle,3,0.02,1.0578543641554814,23.620863751100835,17.949855573990888,0.6264920464059334,4.940133621705469
fresh_oracle,4,0.02,2.2482908871294107,23.56547259223583,16.553355626241235,0.6590799614643559,4.859647568103179
fresh_oracle,0,0.05,7.412125186850758,18.5988362066081,11.710224130321686,0.6245361080143703,4.981937382406732
fresh_oracle,1,0.05,5.136879595560195,14.67354070777688,11.199873995148963,0.6340409956076147,4.967536572307742
fresh_oracle,2,0.05,3.851741255865113,17.75970540969969,10.920708175961362,0.6415210355987069,4.920567130612122
fresh_oracle,3,0.05,1.716401602562062,17.10235793396398,12.309508524707116,0.6483059701492548,4.9219768354069915
fresh_oracle,4,0.05,2.829225696824339,16.92622080000543,11.520741863567176,0.6491201716738211,4.879062945913457
no_influence,0,0.0,29.768524768933652,29.811911999542403,0.380328263183521,0.6423800000000008,4.956951140490794
no_influence,1,0.0,29.225166346736895,31.207197814918434,1.390972866141786,0.612071229827492,4.991009254754437
no_influence,2,0.0,29.092669474575356,29.625598957513727,0.4878115286275335,0.7377266666666675,4.624233590312118
no_influence,3,0.0,26.557704679918253,30.45979168513238,1.0641591462307576,0.6202288888888899,4.984308766747309
no_influence,4,0.0,31.52403775813648,30.30912351331241,1.34514829402481,0.7059622222222233,4.742181256705578
no_influence,0,0.001,22.63617518866363,29.754779117738163,0.48651472533325335,0.6865311111111119,4.8392739164456104
no_influence,1,0.001,14.71812151958829,31.185522383400418,2.1427522160740304,0.6493955555555564,4.903987708955971
no_influence,2,0.001,20.987285888176984,29.570543109291076,1.1237498213494503,0.7645955555555562,4.524154968525785
no_influence,3,0.001,13.313159340191728,30.468121345908155,1.6924290030866582,0.6343222222222233,4.943202716335326
no_influence,4,0.001,14.155781851845664,30.146851384710686,1.670969890424559,0.7137155555555565,4.703962874130172
no_influence,0,0.005,8.075277572296152,29.48824335129444,3.6539199714677792,0.7239000000000007,4.698123085439975
no_influence,1,0.005,2.183922692635842,31.059682589580568,7.573975038228323,0.817813333333334,4.293133096086448
no_influence,2,0.005,6.997461514278801,29.386737406006404,5.42554524090146,0.8188022222222229,4.265150668853446
no_influence,3,0.005,1.908271117475493,30.401033627637844,8.204465835109028,0.7748800000000008,4.461964920392321
no_influence,4,0.005,0.716922240307744,30.007692382015843,12.823013709248823,0.7652555555555562,4.508064271499527
no_influence,0,0.02,4.615698371108969,28.530324551212548,13.278729722046474,0.7749466666666674,4.502671778921196
no_influence,1,0.02,0.2555657596974735,30.785752231700844,17.761648360860097,0.8885422222222226,3.804293626350568
no_influence,2,0.02,0.44586523469590345,28.58720428172291,18.963233089033494,0.8568933333333338,4.063287774572598
no_influence,3,0.02,0.3185592092208387,30.18634784923737,16.96555004151474,0.8733955555555559,3.9414568907964607
no_influence,4,0.02,0.8967950154040616,29.529454883449265,19.657585910946185,0.7598111111111119,4.507455930719722
no_influence,0,0.05,10.041015416471325,27.008690913159285,9.928066427079955,0.7329466666666673,4.654834829685946
no_influence,1,0.05,0.7531998252388945,30.3312162257417,15.580834102669765,0.880286666666667,3.8740153263396193
no_influence,2,0.05,0.9709107601314271,27.701458914214456,16.164857334728076,0.8575711111111115,4.053519741635469
no_influence,3,0.05,0.5978786662386302,29.81162961123891,16.282702422241787,0.8737422222222226,3.943238580243649
no_influence,4,0.05,2.4808342325364356,28.8045910096891,13.474466985944519,0.7689755555555562,4.470832912393416
