seen_filter,seed,cluster,tr_closed,tr_static,tr_gap,loewner_psd,min_eig_diff,disp_closed,disp_static,disp_gap
True,0,0,29.100687648648925,27.46425056227806,1.636437086370865,0.0,-5.3035779884429,41.528898979068046,34.753328951728946,6.7755700273391
True,0,1,25.127946032028532,28.24406008830404,-3.1161140562755065,0.0,-2.197263746847741,31.786245248886566,41.25027168925036,-9.464026440363796
True,0,2,26.525488809688408,29.530971228803775,-3.005482419115367,0.0,-2.5648779364225525,48.25799900385629,52.17125408363424,-3.9132550797779473
True,1,0,29.960915473934904,30.218874915013433,-0.25795944107852975,0.0,-2.9907287557936106,60.72883542972423,55.30666474120383,5.422170688520396
True,1,1,28.16202756768078,28.271687719427486,-0.10966015174670574,0.0,-1.022313799035883,36.555146562209174,37.54424750377594,-0.9891009415667682
True,1,2,25.577657112628213,28.117812243458104,-2.5401551308298913,0.0,-3.2330463233083506,35.79434495922821,47.477308024738804,-11.682963065510592
True,2,0,29.321767335811735,26.89226169144778,2.4295056443639567,0.0,-6.289860863112699,71.59373374837313,42.52670233103979,29.067031417333332
True,2,1,26.635440166493016,28.69836883143057,-2.062928664937555,0.0,-1.492425507294694,55.12886330489831,64.60591801547729,-9.477054710578976
True,2,2,30.226950845835223,27.602226471666206,2.6247243741690163,0.0,-5.18706964569338,31.29250126582601,31.300069284866527,-0.00756801904051585
True,3,0,29.216909600794644,26.270607096320752,2.9463025044738913,0.0,-7.341139148398504,225.25786766630495,142.13389428081234,83.1239733854926
True,3,1,27.68334579723862,29.94678775117035,-2.263441953931732,0.0,-1.2477864929363023,58.521612292008264,66.95458772628503,-8.432975434276763
True,3,2,29.572610934499316,29.526923719271483,0.04568721522783292,0.0,-1.3957426837695859,37.173004174495816,37.095779531091125,0.0772246434046906
True,4,0,27.09954332713742,27.851896081289013,-0.7523527541515911,0.0,-7.351561093422252,73.51063717898336,51.51417478769839,21.99646239128497
True,4,1,25.775502068704647,28.402160238493558,-2.626658169788911,0.0,-1.0257147829765205,66.35369079185483,80.01934224244056,-13.665651450585727
True,4,2,21.322246370150662,29.308474479780763,-7.986228109630101,0.0,-0.2115009066733763,78.08407724862937,117.35836727639891,-39.27429002776954
True,5,0,28.09665188491558,25.717924275904984,2.378727609010596,0.0,-10.2799598452978,118.10838667948026,69.56560367667778,48.54278300280248
True,5,1,24.23513395556927,27.468582000081785,-3.2334480445125138,0.0,-0.15403300779900791,24.217831305246044,29.921479816020586,-5.703648510774542
True,5,2,18.653614443104015,29.634881101699154,-10.981266658595139,0.0,-0.11333092705550306,40.70285480238519,69.03715674497678,-28.334301942591594
True,6,0,27.698883236311637,28.676467192617523,-0.9775839563058852,0.0,-5.1401813327404255,35.96874106056264,32.29016783652819,3.6785732240344515
True,6,1,21.618933248778475,27.004914143518228,-5.3859808947397525,0.0,-0.7811534520914643,24.528893978427043,33.86622492097095,-9.337330942543907
True,6,2,28.540563791943804,26.812496939957168,1.728066851986636,0.0,-5.919448284199575,59.115673681922814,38.65986354237658,20.455810139546237
True,7,0,31.16888293113187,28.095681735018196,3.073201196113672,0.0,-7.228138072221375,46.12752605798819,37.73143309979663,8.39609295819156
True,7,1,22.267979595611326,29.336978513578437,-7.068998917967111,0.0,-0.7128285403159054,33.87890738572737,48.75355777860772,-14.874650392880348
True,7,2,27.901042754110826,25.391172096295406,2.5098706578154193,0.0,-4.952767486163476,65.80227561365052,57.104932183700505,8.697343429950017
True,8,0,30.277206286888667,25.761189725506426,4.516016561382241,0.0,-9.585757850577501,57.04214581419542,37.04777627352146,19.994369540673965
True,8,1,28.137215447244714,29.24322962541576,-1.1060141781710477,0.0,-3.4567875915564406,76.40170677127539,104.48858104611499,-28.0868742748396
True,8,2,24.338184891726176,27.95179966472367,-3.6136147729974937,0.0,-6.577964775277632,28.749251400648447,41.04842365266667,-12.299172252018224
True,9,0,30.13179706928412,29.062006976967247,1.0697900923168717,0.0,-3.2832689244542523,55.26007524691815,54.00516337933217,1.2549118675859816
True,9,1,24.694217073319404,23.829325531848184,0.8648915414712199,0.0,-4.636946165538249,21.757323593189362,28.69024899118935,-6.932925397999988
True,9,2,29.570296910641794,28.821314377296446,0.7489825333453481,0.0,-4.098395344171206,42.744403608393796,42.12555003924951,0.6188535691442851
True,10,0,29.17004259316377,25.709057670485667,3.4609849226781044,0.0,-6.7186466136731955,96.1895661209776,57.33618752155815,38.85337859941945
True,10,1,26.7869920154157,27.395569526146552,-0.6085775107308535,0.0,-1.283110196359934,46.63942458288842,47.845275598829275,-1.2058510159408584
True,10,2,25.225040210111796,28.826428445860586,-3.6013882357487894,0.0,-0.5340328328082996,35.64498621098199,43.248352574941464,-7.6033663639594735
True,11,0,29.99845805082614,28.7849639255391,1.213494125287042,0.0,-4.813417894849022,44.035285307344,37.57992262824367,6.455362679100325
True,11,1,26.950039782518296,29.813528260316566,-2.8634884777982705,0.0,-0.7160816029124498,58.33579074340118,72.27464329569317,-13.938852552291983
True,11,2,30.40799170206772,29.856127450871334,0.5518642511963847,0.0,-2.127653142783123,57.68572966297522,55.29407494993346,2.39165471304176
True,12,0,29.586248343383836,30.37993336299433,-0.7936850196104928,0.0,-3.337077182713722,117.32982208196267,124.68401423417438,-7.354192152211709
