seed,cluster,taste_tr_closed,taste_tr_static,taste_kl_closed,taste_kl_static,probe_tr_closed,probe_tr_static,C_tr_closed,C_tr_static,C_loewner_psd,C_min_eig_diff,xi_tr_closed,xi_tr_static,loewner_psd,min_eig_diff,xi_disp_closed,xi_disp_static
0,0,22.724886957929332,21.5815211773891,14.544377652983627,14.384120302238898,3.4073822852178743,3.2757370749269135,4.479536267965073,4.5099447378772535,0.0,-0.08548699757767637,4.497132045459934,4.586129867473526,0.0,-0.0974979778623092,0.02165123636445143,0.024796835477860046
0,1,22.724886957929332,21.5815211773891,14.544377652983627,14.384120302238898,3.4073822852178743,3.2757370749269135,4.499072126258107,4.632858155154805,0.0,-0.052641840868720986,4.534508419525052,4.529509846608141,0.0,-0.10776122114239216,0.05439658762801214,0.022715422852569223
0,2,22.724886957929332,21.5815211773891,14.544377652983627,14.384120302238898,3.4073822852178743,3.2757370749269135,4.262484082811607,4.381412922251828,0.0,-0.04592838577044222,5.651131478510711,4.968716203101049,0.0,-0.6546698771701731,0.7826953118546771,0.23412073588778703
1,0,23.183939450705562,22.04406520308768,14.675922311397601,14.314208877482594,4.062933440962122,3.9487211389788173,4.584907595341922,4.760364448443759,0.0,-0.04451209279176916,4.61447577385902,4.723036513868033,0.0,-0.11639948587504682,0.041376047583393305,0.03055811912109796
1,1,23.183939450705562,22.04406520308768,14.675922311397601,14.314208877482594,4.062933440962122,3.9487211389788173,4.410152259271489,4.43513357671169,0.0,-0.09935404190616304,4.510387746182449,4.328658330920208,0.0,-0.16201149930295092,0.03683335974339119,0.029549253711749657
1,2,23.183939450705562,22.04406520308768,14.675922311397601,14.314208877482594,4.062933440962122,3.9487211389788173,4.494495492567297,4.553557229324647,0.0,-0.11243946374626894,8.39733356585078,5.967224789611864,0.0,-1.9702062178343556,2.267526913189393,0.5819523196279615
2,0,22.180598018300017,20.9194026305469,14.206200343413165,14.365640068739836,5.02253085897767,4.660253561116506,4.396975266591619,4.462599023647652,0.0,-0.06133538040743939,4.372934344009753,4.40145863566109,0.0,-0.10083032981579643,0.04548419533152748,0.04431837257918314
2,1,22.180598018300017,20.9194026305469,14.206200343413165,14.365640068739836,5.02253085897767,4.660253561116506,4.7421456277124525,4.7724100897144215,0.0,-0.12270142959825833,4.709705888598947,4.749276664211176,0.0,-0.176623556709605,0.04422284615795702,0.032204855728312776
2,2,22.180598018300017,20.9194026305469,14.206200343413165,14.365640068739836,5.02253085897767,4.660253561116506,5.4838571331920205,5.452555650776452,0.0,-0.15694065351261377,7.209874601229181,6.8503511223062095,0.0,-0.3636972987892656,0.6537023167635359,0.47924187656618966
3,0,23.82357229936768,22.594153511568116,14.54945915396571,14.364448472955837,3.712351026720617,3.6229461666567886,4.109219938399093,4.227798826685879,0.0,-0.0475251518234887,4.129485052103316,4.207584800276108,0.0,-0.1046745154833298,0.04011122506261566,0.027052582331494435
3,1,23.82357229936768,22.594153511568116,14.54945915396571,14.364448472955837,3.712351026720617,3.6229461666567886,4.435022376807355,4.506797974743643,0.0,-0.08246102093438983,4.315914931212787,4.462510343350392,0.0,-0.08944768364706637,0.046811516977838696,0.020746053801025344
3,2,23.82357229936768,22.594153511568116,14.54945915396571,14.364448472955837,3.712351026720617,3.6229461666567886,4.7972264222288015,4.911612937451466,0.0,-0.14027533982690288,7.671544470867698,6.984886773628055,0.0,-0.8981358222286498,1.2007091490438526,0.8302018876819295
