cfg,trace_sigma,kl_T,gini,coverage,true_quality,intra_cluster_var,trΣ_0,drop_pct
closed_loop,0.7983289516481729,16.615406828068263,0.5913065158813396,0.7013333333333334,0.20502897728703245,0.0881229449728425,28.332834771160215,97.18231882515059
closed_loop_alpha0,4.960351395435516,6.631892858429507,0.7845555555555562,0.4993333333333333,0.1920519393934699,0.15193925932316682,30.068677871307024,83.50326071313923
closed_loop_beta0,30.375430710060282,0.2643557919393843,0.5266258535743864,0.8386666666666667,0.20452767625618815,0.611481171176566,30.3143662674305,-0.20143730563613182
closed_loop_random,0.10202570843941032,18.74590221556914,0.19447374489579908,0.9993333333333332,0.24356743202976244,0.005501496631559298,28.35288427283466,99.64015756754185
fresh_oracle,0.7922633322759673,17.06149427773067,0.634109759677067,0.682,0.24213375525792072,0.0898025877031979,28.332834771160215,97.20372727023275
fresh_oracle_beta0,30.227283013103516,0.20367599367903572,0.5978370659085858,0.7186666666666667,0.2554362340982279,0.6116351752643208,30.3143662674305,0.28726727637564675
no_influence,3.976371027398806,7.536183958991083,0.7801302222222228,0.44733333333333336,0.21007896436802104,0.11711992565420992,30.068677871307024,86.7757037924396
no_influence_beta0,29.23362060566013,0.9336840196416816,0.6636738015210547,0.628,0.25395965198444015,0.5996015126241544,30.282724794083872,3.464365229870925
static,0.8303906709998226,17.196404284801602,0.5823290158514381,0.7533333333333333,0.34005799012936916,0.08906014418968143,28.332834771160215,97.0691578244579
static_alpha0,3.976371027398806,7.536183958991083,0.7801302222222228,0.44733333333333336,0.21007896436802104,0.11711992565420992,30.068677871307024,86.7757037924396
static_beta0,30.058154231209233,0.2700188081714162,0.427608944368306,0.922,0.3526376531613389,0.6198536158762169,30.3143662674305,0.8451835475001834
static_random,0.105156251113634,18.698443218184966,0.1989480666880952,1.0,0.2592353234402495,0.005702112044916533,28.35288427283466,99.62911621229877
