seed,taste_tr_closed,taste_tr_static,taste_kl_closed,taste_kl_static,disp_tr_closed,disp_tr_static
0,33.965378565572124,34.43640734340232,11.441518898445125,11.607110921141059,3.3672913141798095,3.2860834019995493
1,37.99421382884119,39.3394471620161,13.844161207493554,14.4016955311589,3.5705907560056485,3.68726892234305
2,33.47658109431533,32.83149694186877,12.327140001063476,12.824395823083913,4.365510803152668,4.519192503059842
3,38.16497742721248,36.2291860092938,17.845854382365108,17.38445787228587,3.264835660584799,3.219614182876278
4,36.485176634102224,36.6687271405769,13.907987698923236,15.280426471867237,3.8254977240527235,3.7813726078227154
