drift_alpha,metric,cl_mean,st_mean,gap,lo,hi,significant
0.02,kl_metric,16.43200109708091,15.642820736881818,0.7887906457721255,0.658457717678696,0.9265844508141617,True
0.02,kl_total,16.43200109708091,15.642820736881818,0.7884723055418977,0.6586091327434168,0.9238191619664414,True
0.02,kl_mean_shift,0.02569699497599535,0.02410807545020981,0.0016165661438359827,-0.005654380938458462,0.00895015747598479,False
0.02,kl_dispersion,16.406304102104915,15.618712661431609,0.788226542325497,0.6558092434330085,0.9247139556102497,True
0.02,trace_T,1.2381295764176172,1.3998393301563061,-0.16207245448960722,-0.2152547740737958,-0.11115453397252026,True
0.0,kl_metric,16.43200109708091,15.642820736881818,0.7882297338417499,0.6548538624641842,0.9243273456873565,True
0.0,kl_total,16.43200109708091,15.642820736881818,0.7909794622266135,0.6593699111369533,0.9275797160244399,True
0.0,kl_mean_shift,0.02569699497599535,0.02410807545020981,0.0016038226703670101,-0.005638476528778276,0.008830599464931557,False
0.0,kl_dispersion,16.406304102104915,15.618712661431609,0.7876066480843297,0.6529287338465376,0.9304163442372055,True
0.0,trace_T,1.2381295764176172,1.3998393301563061,-0.1615557153206569,-0.21267108138175,-0.11209553192014962,True
