drift_alpha,mode,seed,kl_total,kl_mean_shift,kl_dispersion,kl_metric,trace_T,trace_0,true_quality_T,true_quality_0,observed_quality_T
0.02,closed_loop,0,16.287951720747852,0.03971547408611528,16.248236246661737,16.287951720747852,1.3426663461605681,30.066227129282733,0.2923653151090897,0.9999877402348805,0.675206611570248
0.02,closed_loop,1,16.23782499412959,0.014914891866363088,16.222910102263224,16.23782499412959,1.2878699538062188,31.09715816550924,0.3082140132341682,0.9999712481507275,0.635589785164167
0.02,closed_loop,2,16.198946856735848,0.003656840867181675,16.195290015868665,16.198946856735848,1.3076771143631556,29.766116264350703,0.37184654375236187,0.9999686707545844,0.625
0.02,closed_loop,3,16.619877922379565,0.04696288420074106,16.572915038178824,16.619877922379565,1.1005657853287183,30.600078730298424,0.3833051723501571,0.9999842683677586,0.6593625498007968
0.02,closed_loop,4,16.53433563628387,0.012569785980514605,16.521765850303357,16.534335636283874,1.277356153257064,30.258738134175317,0.305814523693007,0.9999940117622034,0.6368264743317776
0.02,closed_loop,5,17.142737542447033,0.012183141563896242,17.13055440088314,17.142737542447033,1.0987366947832349,30.922954195101415,0.24456351125448542,0.9999857056410747,0.6059544658493871
0.02,closed_loop,6,16.352826976651865,0.06497009891905726,16.287856877732807,16.352826976651865,1.1832137494839479,30.22017204735039,0.3500716394838582,0.9999803359265271,0.6393044884755358
0.02,closed_loop,7,16.563748184221254,0.03608625041884599,16.527661933802406,16.563748184221254,1.218437615587557,30.450752350605583,0.3183562407408932,0.9999717093931028,0.6836777730915226
0.02,closed_loop,8,16.09877162605011,0.04336546347664565,16.055406162573462,16.09877162605011,1.2536161249330535,29.7518255332668,0.26565016936977875,0.9999678215901568,0.6126088759850684
0.02,closed_loop,9,16.379466105529925,0.029498987341959767,16.349967118187966,16.379466105529925,1.2063357233485739,30.80185165497087,0.2920930795475684,0.9999642232984826,0.6241280262617973
0.02,closed_loop,10,16.32090349527643,0.023639574411968654,16.29726392086446,16.32090349527643,1.1378158306724673,31.147146817562092,0.35803691175612945,0.9999903405677696,0.6587881392350666
0.02,closed_loop,11,16.578985276378205,0.022741394718542175,16.556243881659665,16.578985276378205,1.3775607212247365,30.440289069912225,0.41458956664980745,0.9999868936011643,0.6647278770253428
