part,seen_filter,seed,mode,t,tr_xi,logdet_xi,topeig_xi
A,True,0,closed_loop,0,3.8330437081052886,-7.641814217154574,0.983856700469484
A,True,0,closed_loop,1,4.026078951922241,-6.50960016852293,0.9386802764395078
A,True,0,closed_loop,2,4.279420714087563,-5.963187237619752,1.0093669115971864
A,True,0,closed_loop,3,4.338550473143342,-5.719363069326764,1.017519301817307
A,True,0,closed_loop,4,4.416814461219776,-5.542444858912117,1.0144713389957707
A,True,0,closed_loop,5,4.472465550749123,-5.422430200641529,0.9976642411867568
A,True,0,closed_loop,6,4.439309282577556,-5.494134114753773,0.9911286041957155
A,True,0,closed_loop,7,4.5549992961765,-5.335775022668622,1.0720910029800792
A,True,0,closed_loop,8,4.700788091265563,-5.098446300889968,1.0948089067275164
A,True,0,closed_loop,9,4.848231915701528,-4.721776532209451,1.068954028283991
A,True,0,closed_loop,10,9.098703332146451,-1.4908657424921603,3.300108694603072
A,True,0,closed_loop,11,16.213898969802795,0.2866938000961265,7.172105685712823
A,True,0,closed_loop,12,22.16887169739412,1.2506265654258615,10.685316791494584
A,True,0,closed_loop,13,24.756402093386587,1.3308646545557707,13.208652529270495
A,True,0,closed_loop,14,25.516552173852972,1.3091294666383042,14.943420688421954
A,True,0,closed_loop,15,25.543887601033465,1.2079203278212356,15.88199301165811
A,True,0,closed_loop,16,25.201764457663703,0.9669008997100373,16.906702191932833
A,True,0,closed_loop,17,24.984027439809292,0.9176733644523569,17.18311926103438
A,True,0,closed_loop,18,24.624818023408796,0.83285710367934,17.54327878739689
A,True,0,closed_loop,19,24.482971999731983,0.6487707987310736,17.743991321712425
A,True,0,closed_loop,20,24.52292932713325,0.7190095158411269,17.864885978699157
A,True,0,closed_loop,21,23.820795678871296,0.773228445361374,17.17734372106895
A,True,0,closed_loop,22,24.0287652675937,0.7221453465231237,17.479962260330556
A,True,0,closed_loop,23,24.110032141787872,0.6938339843088913,17.60045616924015
A,True,0,closed_loop,24,24.02417058320417,0.6326204002349872,17.486481395341862
A,True,0,closed_loop,25,24.1198945637146,0.6316858978656877,17.476192668441303
A,True,0,closed_loop,26,23.88252731590103,0.5988831779453878,17.17013042266852
A,True,0,closed_loop,27,23.391823291360357,0.5345540732192228,16.577685721133708
A,True,0,closed_loop,28,22.94871545916328,0.676909630901144,16.131086379757548
A,True,0,closed_loop,29,23.19223190514228,0.890000366103744,15.915094578632901
A,True,0,closed_loop,30,22.474212032422674,0.5774157946862807,15.740695111450867
A,True,0,closed_loop,31,22.026207479787406,0.6098678669718566,15.298572351804069
A,True,0,closed_loop,32,22.50808968404189,0.6842896304442897,15.730397051410334
