mode,seed,t,KL_obs_true,TV,R_obs,R_true,gap,abs_gap,pinsker_bound,bound_holds
closed_loop,0,0,0.0006656745493071676,0.00023384038043765794,0.9997138686853445,0.9999418922136071,-0.00022802352826256644,0.00022802352826256644,0.036487656798078104,1
closed_loop,0,1,0.0006332419128223324,0.0002188358817441851,0.9997353266176897,0.9999500649648829,-0.00021473834719321072,0.00021473834719321072,0.035587692052796355,1
closed_loop,0,2,0.0006098932983348366,0.00020721263894152512,0.9997516289936584,0.9999553679752764,-0.00020373898161796244,0.00020373898161796244,0.03492544339975762,1
closed_loop,0,3,0.0005883343628619652,0.0001993460820171975,0.9997629030539247,0.999959316521301,-0.0001964134673763107,0.0001964134673763107,0.03430260523231334,1
closed_loop,0,4,0.000567682590003639,0.0001900988774962251,0.9997760304555413,0.9999640033420238,-0.00018797288648253474,0.00018797288648253474,0.03369518036763237,1
closed_loop,0,5,0.0005601732092775137,0.0001862388179518522,0.9997821744332197,0.99996684364369,-0.00018466921047033402,0.00018466921047033402,0.03347157627831452,1
closed_loop,0,6,0.0005369630191196137,0.00018024000454241516,0.999789128112916,0.9999678190138936,-0.00017869090097766271,0.00017869090097766271,0.03277081076566809,1
closed_loop,0,7,0.0005265004685326477,0.0001762137992128358,0.9997956795821223,0.9999709410607399,-0.00017526147861757213,0.00017526147861757213,0.03244997591779223,1
closed_loop,0,8,0.0005141053469729913,0.00017340770493528182,0.9997995316088156,0.9999720673049164,-0.0001725356961007618,0.0001725356961007618,0.03206572459723907,1
closed_loop,0,9,0.0005139861626416028,0.00017381701343052033,0.9997996858443825,0.9999726773999015,-0.00017299155551897538,0.00017299155551897538,0.032062007505507285,1
closed_loop,0,10,0.0009265202565709247,0.0002873583408932548,0.9996803650532875,0.9999668847417299,-0.0002865196884423993,0.0002865196884423993,0.04304695707180531,1
closed_loop,0,11,0.0009776758049657801,0.00031385054682996126,0.999648780658099,0.9999621872361915,-0.00031340657809242334,0.00031340657809242334,0.044219357864305996,1
closed_loop,0,12,0.0010470579065586028,0.0003489738518974145,0.9996051119009021,0.9999534238981415,-0.0003483119972393922,0.0003483119972393922,0.04576151017085434,1
closed_loop,0,13,0.0012113549099703046,0.00042890358098731523,0.9995039644187407,0.999931687135681,-0.0004277227169403597,0.0004277227169403597,0.04922103026086115,1
closed_loop,0,14,0.0013715662589650357,0.0005122429199588707,0.9993950538961929,0.9999052851468863,-0.0005102312506933826,0.0005102312506933826,0.05237492260548049,1
closed_loop,0,15,0.001667413352885867,0.0006579033458530457,0.9992090414321612,0.9998639179168843,-0.0006548764847231769,0.0006548764847231769,0.05774795845544441,1
closed_loop,0,16,0.0020378171136874635,0.0008579889216340445,0.9989393516052083,0.9997909471879218,-0.0008515955827135269,0.0008515955827135269,0.06384069413293474,1
closed_loop,0,17,0.0025733097737279677,0.001129856185568484,0.9985812667237409,0.9997014664116417,-0.0011201996879007803,0.0011201996879007803,0.07173994387686636,1
closed_loop,0,18,0.0031454390365212937,0.001459292409135017,0.9981261640887668,0.999571091849399,-0.0014449277606322086,0.0014449277606322086,0.07931505577784452,1
closed_loop,0,19,0.0042895074931406105,0.00213401311905366,0.9972025724623851,0.9993138405859425,-0.0021112681235574415,0.0021112681235574415,0.09262297223843133,1
closed_loop,0,20,0.009167851810963345,0.004199967323132749,0.9947022635864168,0.9988723216403175,-0.004170058053900694,0.004170058053900694,0.1354093926650832,1
