part,axis,level,tr_closed,tr_static,tr_gap,tr_gap_lo,tr_gap_hi,tr_gap_sig,loewner_frac,disp_gap,disp_gap_lo,disp_gap_hi,disp_gap_sig
A,seen_filter,True,27.32588831598775,28.134425430339974,-0.8208813716612644,-1.7238178846500534,0.06285286226426917,False,0.0,0.8156360244109718,-11.2230819469493,13.53774799036752,False
A,seen_filter,False,3.7162268561260583,3.6812035320640866,0.03622214720519354,-0.17577261939362826,0.248974107609742,False,0.06666666666666667,0.00484031494539681,-0.26561158122501066,0.2786458591521368,False
B,alpha,0.0,,,0.00617271764575817,-0.3673373341099369,0.38574335174974056,False,,,,,
B,alpha,0.3,,,0.003291847065110427,-0.3717066687667409,0.3797805172846857,False,,,,,
B,alpha,0.7,,,0.009317532657229335,-0.35651670177080236,0.3673098615854543,False,,,,,
B,alpha,0.9,,,0.01665143972555652,-0.3468586177919374,0.376439044825874,False,,,,,
C,sigma_k,0.3,,,-0.007474311408591652,-0.0659113032346612,0.05173224241083238,False,,,,,
C,sigma_k,0.8,,,-0.006477816483513471,-0.4746805309320337,0.44350442102899224,False,,,,,
C,sigma_k,2.0,,,-0.6856184177667135,-4.145255458741485,2.7047973408992467,False,,,,,
