model,init,trace_gap,trace_lo,trace_hi,kl_gap,kl_lo,kl_hi
MLP,cold,0.13944898853654705,0.011362076378752958,0.26926010148267804,-0.04297686514695819,-0.28713778004174645,0.1993573587978394
MLP,warm,-0.1616191370103067,-0.2193092283313093,-0.1094634915740082,0.7929508620141268,0.6410916406955667,0.9454133264229301
MLP,warm_noisy,-0.23389806121951784,-0.28220719638104413,-0.18080381091187597,0.7306082520286656,0.6298520733328501,0.8347454401198051
MF,cold,0.036221669072954515,-0.01351308340160604,0.08708052518243303,-0.10359613592513997,-0.19259782177101328,-0.007753391732345177
MF,warm,-0.051933045811999264,-0.11400755729767488,0.009357892715536694,-0.18329808806045186,-0.2825526540082408,-0.08033525863962135
MF,warm_noisy,-0.004999031867032947,-0.07222642115152005,0.05570616741370675,0.13532776875957905,0.02100257630461506,0.2436079570949927
