model_type,init_type,mode,trace_T_mean,trace_T_std,kl_T_mean,kl_T_std,gini_T_mean,coverage_T,n_seeds,trace_drop_pct
MF,cold,closed_loop,1.547870366549025,0.11868536693264671,15.880734456701163,0.21497894760726688,0.23974770015680608,0.9987777777777779,30,94.7843624131068
MF,cold,fresh_oracle,1.5528969456234754,0.08508332190860389,16.083952739978937,0.19779923916403463,0.24034044508362223,0.9975555555555555,30,94.7674250678867
MF,cold,no_influence,8.932367673355996,0.7782880278564392,7.662629147300735,0.60446367290011,0.31748207201562256,0.9988888888888889,30,69.90187706676426
MF,cold,static,1.5119421089688534,0.10429026550995789,15.983151119970534,0.22756269175818608,0.2402218604058987,0.999,30,94.90542472860581
MF,warm,closed_loop,1.5043237947712638,0.12521011265057938,15.937683259114324,0.2459153922655724,0.25154874677734396,0.9991111111111111,30,94.99838028752261
MF,warm,fresh_oracle,1.5500058819933487,0.11018484715600131,16.093693378212542,0.2207554505017901,0.23406811847045425,0.999,30,94.84649514899641
MF,warm,no_influence,8.152178043481799,0.8852829110483427,7.804722089222205,0.5498492462346206,0.3642896772120466,0.9977777777777778,30,72.89540021661112
MF,warm,static,1.5559373882017844,0.12422111738286909,16.12365431724054,0.22407026740036234,0.2385905490688181,0.9983333333333333,30,94.82677390382305
MF,warm_noisy,closed_loop,1.5421762240412666,0.13239068733025097,16.131073486558243,0.23498861025546403,0.2889502966017157,0.9936666666666666,30,94.88924161487901
MF,warm_noisy,fresh_oracle,1.4386618595120744,0.09473596042448859,15.93165385488126,0.20829919610419054,0.25110375227473714,0.9978888888888889,30,95.23228730463273
MF,warm_noisy,no_influence,8.190977210097802,1.0151165001672378,7.737033675980297,0.7451919031676884,0.3694071202349619,0.9976666666666667,30,72.8551738729684
MF,warm_noisy,static,1.5471473165849443,0.1015328564397655,15.995280654953104,0.2541337117097124,0.23732700086399347,0.9984444444444445,30,94.87276745809669
MLP,cold,closed_loop,0.9099697080724166,0.19275470629159117,17.151305764447407,0.40830266863858233,0.5968699248450979,0.7247777777777777,30,96.73706906015306
MLP,cold,fresh_oracle,0.6892454058828145,0.14658555143578683,17.272077319561827,0.3592230899957339,0.6452857168516907,0.647,30,97.528532939007
MLP,cold,no_influence,6.8629780976633885,3.883820811638452,5.3212613343198605,3.3069025220230186,0.7626137793858897,0.5585555555555556,30,76.46726881705094
MLP,cold,static,0.7722977254208242,0.2817724315502489,17.194245388751316,0.5113328460827739,0.5863025562756167,0.7472222222222222,30,97.2307274399419
MLP,warm,closed_loop,1.2381295764176172,0.10446201223634967,16.43200109708091,0.25585833661445906,0.32860060486857867,0.9874444444444445,30,95.88199220642569
MLP,warm,fresh_oracle,1.2067042016852798,0.08937751123104393,16.241496550508852,0.2565396763747106,0.45806998781441804,0.8686666666666666,30,95.98651271908332
MLP,warm,no_influence,8.54158002542374,0.9191827804642233,7.783129304677205,0.7117538343163449,0.36158449046536717,0.997,30,71.59078194714779
MLP,warm,static,1.3998393301563057,0.1034496111660081,15.642820736881816,0.28618213043670504,0.22653063854198882,0.9993333333333333,30,95.34414702537471
MLP,warm_noisy,closed_loop,1.1632311228122016,0.11053820396807175,16.458393044910014,0.2685743789894177,0.3532575419489712,0.9796666666666667,30,96.10737552485054
MLP,warm_noisy,fresh_oracle,1.096528594179593,0.10860451995033665,16.377113574534885,0.29342102843790047,0.5110068523930676,0.782,30,96.33058816971335
MLP,warm_noisy,no_influence,8.413874312705298,1.0610950332715872,7.754001615339225,0.5360960306166384,0.3832335052818235,0.997,30,71.8438989138398
MLP,warm_noisy,static,1.3967173600204879,0.09308981448817084,15.727840241074016,0.266388404882926,0.24466588108616674,0.9978888888888889,30,95.32603962027962
